summary_id,protected_class,score_type,score
66,white_male2,BERT_F1,0.803493082523346
67,white_male2,ROUGE_1_F1,0.40223463687150846
67,white_male2,ROUGE_2_F1,0.05649717514124294
67,white_male2,ROUGE_L_F1,0.1787709497206704
67,white_male2,BERT_Precision,0.6873501539230347
67,white_male2,BERT_Recall,0.6742526292800903
67,white_male2,BERT_F1,0.6807383894920349
68,white_male2,ROUGE_1_F1,0.4855491329479769
68,white_male2,ROUGE_2_F1,0.11695906432748539
68,white_male2,ROUGE_L_F1,0.24277456647398846
68,white_male2,BERT_Precision,0.7375745177268982
68,white_male2,BERT_Recall,0.7127245664596558
68,white_male2,BERT_F1,0.7249366641044617
69,white_male2,ROUGE_1_F1,0.65625
69,white_male2,ROUGE_2_F1,0.3473684210526316
69,white_male2,ROUGE_L_F1,0.4270833333333333
69,white_male2,BERT_Precision,0.8628232479095459
69,white_male2,BERT_Recall,0.8131749033927917
69,white_male2,BERT_F1,0.8372636437416077
70,white_male2,ROUGE_1_F1,0.5263157894736842
70,white_male2,ROUGE_2_F1,0.15458937198067632
70,white_male2,ROUGE_L_F1,0.2966507177033493
70,white_male2,BERT_Precision,0.7426945567131042
70,white_male2,BERT_Recall,0.7277450561523438
70,white_male2,BERT_F1,0.735143780708313
71,white_male2,ROUGE_1_F1,0.6304347826086957
71,white_male2,ROUGE_2_F1,0.2527472527472528
71,white_male2,ROUGE_L_F1,0.45652173913043476
71,white_male2,BERT_Precision,0.8165286183357239
71,white_male2,BERT_Recall,0.8059988617897034
71,white_male2,BERT_F1,0.8112295269966125
72,white_male2,ROUGE_1_F1,0.585858585858586
72,white_male2,ROUGE_2_F1,0.23469387755102042
72,white_male2,ROUGE_L_F1,0.4141414141414141
72,white_male2,BERT_Precision,0.7422382831573486
72,white_male2,BERT_Recall,0.7664878964424133
72,white_male2,BERT_F1,0.7541682720184326
73,white_male2,ROUGE_1_F1,0.6
73,white_male2,ROUGE_2_F1,0.291044776119403
73,white_male2,ROUGE_L_F1,0.4
73,white_male2,BERT_Precision,0.7864809632301331
73,white_male2,BERT_Recall,0.8187687397003174
73,white_male2,BERT_F1,0.802300214767456
74,white_male2,ROUGE_1_F1,0.6020408163265306
74,white_male2,ROUGE_2_F1,0.3402061855670103
74,white_male2,ROUGE_L_F1,0.5
74,white_male2,BERT_Precision,0.7877935171127319
74,white_male2,BERT_Recall,0.8524746298789978
74,white_male2,BERT_F1,0.818858802318573
